fecha,AAPL.close,variacion_precio,AAPL.volume,mes,year,dia,mes_year
2023-08-02,192.5800018310547,0.9845100006653927,50389300,8,2023,214,8-2023
2023-08-03,191.1699981689453,0.992678348485289,61235200,8,2023,215,8-2023
2023-08-04,181.99000549316406,0.9519799510189434,115799700,8,2023,216,8-2023
2023-08-07,178.85000610351562,0.9827463086165664,97576100,8,2023,219,8-2023
2023-08-08,179.8000030517578,1.005311696482092,67823000,8,2023,220,8-2023
2023-08-09,178.19000244140625,0.9910456029865132,60378500,8,2023,221,8-2023
2023-08-10,177.97000122070312,0.9987653559813185,54686900,8,2023,222,8-2023
2023-08-11,177.7899932861328,0.9989885490063739,51988100,8,2023,223,8-2023
2023-08-14,179.4600067138672,1.0093931801046119,43675600,8,2023,226,8-2023
2023-08-15,177.4499969482422,0.9887996785332245,43622600,8,2023,227,8-2023
2023-08-16,176.57000732421875,0.9950409149667097,46964900,8,2023,228,8-2023
2023-08-17,174,0.9854448251820045,66062900,8,2023,229,8-2023
2023-08-18,174.49000549316406,1.0028161235239315,61114200,8,2023,230,8-2023
2023-08-21,175.83999633789062,1.007736780344015,46311900,8,2023,233,8-2023
2023-08-22,177.22999572753906,1.0079049102513482,42084200,8,2023,234,8-2023
2023-08-23,181.1199951171875,1.0219488770717382,52722800,8,2023,235,8-2023
2023-08-24,176.3800048828125,0.9738295585128072,54945800,8,2023,236,8-2023
2023-08-25,178.61000061035156,1.0126431322474487,51449600,8,2023,237,8-2023
2023-08-28,180.19000244140625,1.0088460994661859,43820700,8,2023,240,8-2023
2023-08-29,184.1199951171875,1.0218102703953245,53003900,8,2023,241,8-2023
2023-08-30,187.64999389648438,1.0191722728270232,60813900,8,2023,242,8-2023
2023-08-31,187.8699951171875,1.0011724019603458,60794500,8,2023,243,8-2023
2023-09-01,189.4600067138672,1.0084633610369123,45732600,9,2023,244,9-2023
2023-09-05,189.6999969482422,1.0012667065653462,45280000,9,2023,248,9-2023
2023-09-06,182.91000366210938,0.9642066768826285,81755800,9,2023,249,9-2023
2023-09-07,177.55999755859375,0.970750609609091,112488800,9,2023,250,9-2023
2023-09-08,178.17999267578125,1.003491749975852,65551300,9,2023,251,9-2023
2023-09-11,179.36000061035156,1.0066225613597228,58953100,9,2023,254,9-2023
2023-09-12,176.3000030517578,0.9829393535449333,90370200,9,2023,255,9-2023
2023-09-13,174.2100067138672,0.9881452280107048,84267900,9,2023,256,9-2023
2023-09-14,175.74000549316406,1.0087824965290877,60895800,9,2023,257,9-2023
2023-09-15,175.00999450683594,0.9958460739529422,109205100,9,2023,258,9-2023
2023-09-18,177.97000122070312,1.0169133581325356,67257600,9,2023,261,9-2023
2023-09-19,179.07000732421875,1.0061808512444268,51826900,9,2023,262,9-2023
2023-09-20,175.49000549316406,0.9800078087640168,58436200,9,2023,263,9-2023
2023-09-21,173.92999267578125,0.9911105318334292,63047900,9,2023,264,9-2023
2023-09-22,174.7899932861328,1.0049445216268977,56725400,9,2023,265,9-2023
2023-09-25,176.0800018310547,1.0073803340836,46172700,9,2023,268,9-2023
2023-09-26,171.9600067138672,0.9766015727263534,64588900,9,2023,269,9-2023
2023-09-27,170.42999267578125,0.991102500707436,66921800,9,2023,270,9-2023
2023-09-28,170.69000244140625,1.001525610378448,56294400,9,2023,271,9-2023
2023-09-29,171.2100067138672,1.0030464834789574,51814200,9,2023,272,9-2023
